PassengerId,Transported
0013_01,True
0018_01,False
0019_01,True
0021_01,False
0023_01,True
0027_01,False
0029_01,True
0032_01,True
0032_02,True
0033_01,True
0037_01,False
0040_01,False
0040_02,True
0042_01,True
0046_01,False
0046_02,False
0046_03,False
0047_01,True
0047_02,False
0047_03,False
0048_01,True
0049_01,False
0054_01,True
0054_02,True
0054_03,False
0055_01,False
0057_01,True
0059_01,True
0060_01,True
0063_01,True
0065_01,True
0075_01,False
0079_01,True
0080_01,False
0083_01,False
0087_01,False
0089_01,True
0093_01,False
0094_01,True
0094_02,False
0095_01,True
0096_01,False
0100_01,True
0100_02,False
0104_01,False
0106_01,True
0109_01,False
0117_01,False
0118_01,True
0121_01,False
0124_01,True
0125_01,True
0125_02,False
0130_01,True
0131_01,True
0132_01,True
0135_01,False
0137_01,True
0142_01,True
0142_02,False
0142_03,True
0143_01,True
0145_01,False
0150_01,True
0150_02,True
0153_01,False
0154_01,True
0155_01,False
0156_01,True
0157_01,False
0158_01,False
0158_02,True
0159_01,False
0161_01,False
0162_01,True
0166_01,True
0168_01,True
0175_01,True
0175_02,True
0175_03,True
0175_04,True
0175_05,True
0176_01,False
0180_01,False
0184_01,True
0185_01,True
0187_01,True
0191_01,False
0194_01,True
0194_02,True
0194_03,False
0204_01,False
0208_01,False
0209_01,False
0214_01,False
0214_02,False
0215_01,True
0218_01,False
0226_01,True
0227_01,True
0228_01,True
0228_02,True
0228_03,True
0228_04,False
0230_01,True
0230_02,False
0235_01,True
0236_01,True
0238_01,False
0247_01,True
0247_02,True
0249_01,False
0256_01,True
0259_01,True
0262_01,False
0264_01,True
0264_02,True
0264_03,False
0266_01,False
0266_02,False
0268_01,False
0268_02,False
0271_01,False
0272_01,False
0273_01,True
0273_02,True
0273_03,False
0274_01,False
0274_02,True
0276_01,False
0276_02,True
0279_01,False
0280_01,False
0284_01,True
0292_01,False
0293_01,True
0295_01,False
0296_01,False
0299_01,False
0300_01,False
0308_01,True
0311_01,False
0312_01,True
0317_01,False
0318_01,True
0319_01,False
0319_02,True
0323_01,True
0325_01,True
0328_01,True
0329_01,True
0332_01,True
0335_01,True
0339_01,False
0339_02,False
0339_03,False
0339_04,True
0339_05,True
0339_06,False
0339_07,False
0339_08,False
0342_01,True
0342_02,True
0344_01,True
0344_02,False
0349_01,False
0349_02,True
0349_03,False
0349_04,True
0349_05,False
0349_06,False
0351_01,True
0353_01,True
0353_02,True
0354_01,False
0362_01,True
0363_01,False
0363_02,False
0363_03,True
0364_01,False
0364_02,False
0366_01,True
0367_01,True
0374_01,False
0374_02,False
0386_01,False
0390_01,True
0393_01,False
0394_01,True
0399_01,True
0400_01,True
0404_01,True
0406_01,False
0414_01,False
0416_01,False
0418_01,False
0419_01,False
0419_02,True
0419_03,True
0420_01,False
0421_01,True
0422_01,False
0424_01,False
0426_01,False
0440_01,True
0443_01,True
0450_01,False
0451_01,True
0455_01,True
0464_01,True
0467_01,True
0467_02,True
0467_03,True
0467_04,True
0469_01,True
0473_01,False
0478_01,False
0478_02,True
0479_01,True
0483_01,True
0483_02,True
0484_01,True
0486_01,True
0489_01,True
0489_02,True
0491_01,True
0492_01,False
0493_01,True
0494_01,True
0494_02,False
0495_01,True
0495_02,True
0495_03,True
0495_04,True
0495_05,False
0495_06,False
0496_01,True
0496_02,True
0497_01,True
0505_01,False
0508_01,False
0509_01,True
0511_01,False
0514_01,True
0524_01,True
0526_01,True
0530_01,False
0530_02,False
0530_03,True
0532_01,False
0532_02,True
0535_01,False
0536_01,False
0536_02,False
0541_01,True
0543_01,True
0544_01,True
0554_01,False
0557_01,True
0557_02,True
0558_01,True
0562_01,False
0562_02,True
0574_01,False
0578_01,True
0578_02,True
0584_01,True
0584_02,False
0592_01,True
0595_01,True
0601_01,True
0604_01,True
0605_01,False
0606_01,True
0613_01,True
0613_02,True
0616_01,False
0617_01,True
0620_01,False
0620_02,True
0620_03,True
0621_01,False
0622_01,False
0624_01,True
0625_01,True
0625_02,True
0625_03,True
0626_01,True
0626_02,True
0626_03,True
0627_01,True
0632_01,False
0632_02,True
0632_03,True
0640_01,True
0640_02,True
0648_01,True
0648_02,False
0649_01,True
0651_01,True
0652_01,True
0652_02,True
0652_03,False
0652_04,False
0652_05,True
0654_01,True
0662_01,False
0666_01,True
0666_02,True
0667_01,False
0670_01,True
0670_02,False
0673_01,True
0675_01,False
0676_01,True
0681_01,True
0692_01,False
0694_01,True
0695_01,True
0698_01,False
0700_01,False
0706_01,True
0708_01,True
0708_02,True
0711_01,False
0716_01,False
0717_01,True
0717_02,False
0717_03,True
0717_04,True
0717_05,False
0717_06,False
0717_07,True
0720_01,True
0720_02,True
0720_03,False
0721_01,False
0722_01,True
0723_01,False
0725_01,True
0730_01,False
0731_01,False
0731_02,False
0735_01,False
0739_01,True
0741_01,True
0742_01,True
0742_02,True
0744_01,True
0745_01,False
0747_01,False
0748_01,True
0748_02,False
0749_01,True
0751_01,True
0752_01,True
0755_01,True
0758_01,False
0758_02,True
0758_03,False
0759_01,True
0759_02,False
0759_03,True
0760_01,False
